index,Intercept,Slope,Curvature,Lambda,Residuals
2020-01-02,0.024551343442654694,-0.009047588567410808,-0.009747205552839106,3.5579347587433703,1.9450013258740377e-07
2020-01-03,0.025335496251633418,-0.009899806453235634,-0.012351312193120119,4.140972243573383,2.747835226764198e-07
2020-01-04,0.025335496251633418,-0.009899806453235634,-0.012351312193120119,4.140972243573383,2.747835226764198e-07
2020-01-05,0.025335496251633418,-0.009899806453235634,-0.012351312193120119,4.140972243573383,2.747835226764198e-07
2020-01-06,0.02300669443410958,-0.007398383487307212,-0.010098005107775523,3.1837503195897154,1.508093013638308e-07
2020-01-07,0.024199407568277966,-0.008742998142186044,-0.011014473972852616,3.4558360430174364,2.386551969579316e-07
2020-01-08,0.023950034088483202,-0.008635068336433679,-0.007836224673215457,3.7991309901693033,2.3055174725647262e-07
2020-01-09,0.02329036781850563,-0.007819872876057215,-0.008634695912170238,3.2997595817783947,1.7514600755855962e-07
2020-01-10,0.023349172584557924,-0.007925055383298145,-0.008952110398630727,3.4862636555164257,1.5456936330709175e-07
2020-01-11,0.023349172584557924,-0.007925055383298145,-0.008952110398630727,3.4862636555164257,1.5456936330709175e-07
2020-01-12,0.023349172584557924,-0.007925055383298145,-0.008952110398630727,3.4862636555164257,1.5456936330709175e-07
2020-01-13,0.022840137868629234,-0.007194379839064139,-0.008841676202660114,3.010513893856652,2.2809128418970489e-07
2020-01-14,0.023111841009222804,-0.00750368287162665,-0.008856535205602286,3.5014031299987898,3.0485137648071454e-07
2020-01-15,0.024211230665743756,-0.008532595018016375,-0.011028125002117297,3.9901059611214884,3.2676457332781283e-07
2020-01-16,0.022377905563233238,-0.006812389988975182,-0.008129399708809703,3.263794964521714,1.3558994694376464e-07
2020-01-17,0.025819253787641012,-0.010167894552336092,-0.012201127531114152,4.196365488611355,2.1466532405143026e-07
2020-01-18,0.025819253787641012,-0.010167894552336092,-0.012201127531114152,4.196365488611355,2.1466532405143026e-07
2020-01-19,0.025819253787641012,-0.010167894552336092,-0.012201127531114152,4.196365488611355,2.1466532405143026e-07
2020-01-20,0.025819253787641012,-0.010167894552336092,-0.012201127531114152,4.196365488611355,2.1466532405143026e-07
2020-01-21,0.025181546033772997,-0.009574900391844499,-0.013168132938252738,4.080067190098347,3.9374790827991847e-07
2020-01-22,0.02508599958092923,-0.009551971038304729,-0.012825029110096448,4.218984756089548,3.4801543803658127e-07
2020-01-23,0.024364991912039995,-0.008630350338316141,-0.013497087768383677,3.897419647453634,1.655004864931772e-07
2020-01-24,0.024985901974436567,-0.009342377482838832,-0.015028822870585443,4.272887142173876,2.722984799488861e-07
2020-01-25,0.024985901974436567,-0.009342377482838832,-0.015028822870585443,4.272887142173876,2.722984799488861e-07
2020-01-26,0.024985901974436567,-0.009342377482838832,-0.015028822870585443,4.272887142173876,2.722984799488861e-07
2020-01-27,0.02518127539107512,-0.009395846718851096,-0.018435486111768127,4.355262342137352,5.452881476943614e-07
2020-01-28,0.024324225944993935,-0.008434858348917263,-0.016544060958207107,3.9661643016114287,5.464568154388116e-07
2020-01-29,0.025961615508949803,-0.010139524251273213,-0.020564714021164072,4.290158355277701,7.074507083687483e-07
2020-01-30,0.021443158391467054,-0.005253808679878456,-0.01629559107392569,3.011123406633179,2.2105609159491968e-07
2020-01-31,0.021428515078035153,-0.005363693395106468,-0.018663088078179155,2.963699402619032,3.076138931113615e-07
2020-02-01,0.021428515078035153,-0.005363693395106468,-0.018663088078179155,2.963699402619032,3.076138931113615e-07
2020-02-02,0.021428515078035153,-0.005363693395106468,-0.018663088078179155,2.963699402619032,3.076138931113615e-07
2020-02-03,0.021950794617487585,-0.005840758448782247,-0.018306169092212433,3.107921096407249,3.8440625147936786e-07
2020-02-04,0.02251555667453921,-0.006509295113472275,-0.016555979071431467,3.2147020937196187,3.9478920830798133e-07
2020-02-05,0.023019885591684667,-0.007085347606821087,-0.015788288410739582,3.236309481994752,3.603834937504574e-07
2020-02-06,0.022847884329209634,-0.006682276509849116,-0.016271486771979708,3.1749594946443516,2.1048541335400271e-07
2020-02-07,0.021660713714627435,-0.005583492087306695,-0.015743313742019847,3.0660471534342357,2.8243302834586515e-07
2020-02-08,0.021660713714627435,-0.005583492087306695,-0.015743313742019847,3.0660471534342357,2.8243302834586515e-07
2020-02-09,0.021660713714627435,-0.005583492087306695,-0.015743313742019847,3.0660471534342357,2.8243302834586515e-07
2020-02-10,0.020472079946634154,-0.004190435054431355,-0.01586032955429507,2.6435716054992944,4.337551697010825e-07
2020-02-11,0.02204215135778966,-0.005987422805234535,-0.016490916997366392,3.143270869598362,1.4399419658178398e-07
2020-02-12,0.020489798499572706,-0.004378667005907854,-0.013022468341079256,2.6630555801111067,1.9624137753377929e-07
2020-02-13,0.020714512706536507,-0.004516765488627458,-0.01390370871522902,2.7570445212613426,1.4445018110177063e-07
2020-02-14,0.020363654344202953,-0.004101610885676415,-0.014082742676489384,2.6772238251305502,7.180367476098871e-08
2020-02-15,0.020363654344202953,-0.004101610885676415,-0.014082742676489384,2.6772238251305502,7.180367476098871e-08
2020-02-16,0.020363654344202953,-0.004101610885676415,-0.014082742676489384,2.6772238251305502,7.180367476098871e-08
2020-02-17,0.020363654344202953,-0.004101610885676415,-0.014082742676489384,2.6772238251305502,7.180367476098871e-08
2020-02-18,0.01926011991002144,-0.0029173180086402403,-0.013451908498854182,2.4527238460878746,1.0143081778351178e-07
2020-02-19,0.018784774211005828,-0.002426550559968212,-0.012185316773899443,2.2650779141483683,1.1279140768251092e-07
